Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Grudger,4.5,0.6448333333333334,1.0,1.0,0.6033333333333334,0.0415,0.08983333333333333,0.26533333333333337,1.0,0,0,0
1,Tit For Tat,4.33333333333,0.7495,0.0,1.0,0.6635000000000001,0.08600000000000001,0.056999999999999995,0.1935,1.0,0,1.0,0
2,Dynamic Two Tits For Tat,4.0,0.747,0.0,1.0,0.657,0.09000000000000001,0.049666666666666665,0.20333333333333334,0.974847428073,0.341740766074,0.583903328773,0.271946803197
3,Average Copier,2.08333333333,0.6213333333333333,1.0,0.506666666667,0.5101666666666667,0.11116666666666665,0.1025,0.27616666666666667,0.92668907771,0.454204695706,0.821224641456,0.283530942741
4,Cooperator,2.0,1.0,0.0,1.0,0.742,0.258,0.0,0.0,1.0,1.0,0,0
5,Random: 0.5,-0.583333333333,0.49733333333333335,3.0,0.513333333333,0.23900000000000002,0.25833333333333336,0.23666666666666666,0.26599999999999996,0.505507840465,0.489023578364,0.487609082238,0.488981538175
6,Defector,-0.75,0.0,5.0,0.0,0.0,0.0,0.3093333333333334,0.6906666666666667,0,0,0,0
